number,value,datetime_start,datetime_complete,duration,params_lr,params_optimizer,params_sgd_momentum,params_weight_decay,user_attrs_checkpoint_path,user_attrs_trial_dir,state
0,0.9708754099683575,2026-04-08 08:30:38.377188,2026-04-08 08:37:55.453322,0 days 00:07:17.076134,0.008734266428437547,adamw,,0.00021651110187582368,outputs/optuna/cnn/trial_0000/cnn_best.pth,outputs/optuna/cnn/trial_0000,COMPLETE
1,0.9728164333459715,2026-04-08 08:30:38.378606,2026-04-08 08:37:53.014869,0 days 00:07:14.636263,0.00027223853901998956,adamw,,9.110343330237822e-05,outputs/optuna/cnn/trial_0001/cnn_best.pth,outputs/optuna/cnn/trial_0001,COMPLETE
2,0.9733437577894065,2026-04-08 08:37:53.096315,2026-04-08 08:44:38.842795,0 days 00:06:45.746480,0.0009438210424100977,adamw,,0.0014898980618547853,outputs/optuna/cnn/trial_0002/cnn_best.pth,outputs/optuna/cnn/trial_0002,COMPLETE
3,0.910076949282592,2026-04-08 08:37:55.530761,2026-04-08 08:44:41.361876,0 days 00:06:45.831115,1.2417756002674572e-05,adamw,,0.0002184076587131128,outputs/optuna/cnn/trial_0003/cnn_best.pth,outputs/optuna/cnn/trial_0003,COMPLETE
4,0.9744397804893541,2026-04-08 08:44:38.928770,2026-04-08 08:51:26.960885,0 days 00:06:48.032115,0.0005877323043393512,adamw,,1.3983416303642164e-06,outputs/optuna/cnn/trial_0004/cnn_best.pth,outputs/optuna/cnn/trial_0004,COMPLETE
5,0.951185631277875,2026-04-08 08:44:41.436762,2026-04-08 08:51:25.749973,0 days 00:06:44.313211,0.0020768531890529526,sgd,0.9288440763437832,0.0007787530492758698,outputs/optuna/cnn/trial_0005/cnn_best.pth,outputs/optuna/cnn/trial_0005,COMPLETE
6,0.9145986310354715,2026-04-08 08:51:25.840754,2026-04-08 08:52:46.236822,0 days 00:01:20.396068,0.00010343636768680673,adamw,,0.0008857069047016577,,,PRUNED
7,0.8418723046180108,2026-04-08 08:51:27.045771,2026-04-08 08:52:48.898357,0 days 00:01:21.852586,3.1746553607978854e-05,sgd,0.8009524829695884,0.0006005211013017055,,,PRUNED
8,0.882273710702872,2026-04-08 08:52:46.358473,2026-04-08 08:54:08.170802,0 days 00:01:21.812329,1.717909048171708e-05,adamw,,0.0011790404599672367,,,PRUNED
9,0.8271690209124429,2026-04-08 08:52:49.005758,2026-04-08 08:54:10.085067,0 days 00:01:21.079309,1.778161974345045e-05,sgd,0.8281173730665797,2.4776293988000738e-06,,,PRUNED
