Feature,Rank_MI,Rank_ANOVA,Rank_Chi2,Rank_KL,Avg_Rank
GLCM_homogeneity,8,3,1,1,3.25
GLCM_energy,7,5,2,8,5.5
GLCM_contrast,3,13,8,5,7.25
Edge_density,17,2,4,6,7.25
B_lab_mean,5,8,6,12,7.75
A_mean,15,1,3,18,9.25
LBP_bin24,12,6,12,11,10.25
H_mean,14,9,13,7,10.75
LBP_bin17,20,4,5,16,11.25
B_std,6,21,19,2,12.0
Sharpness,9,19,14,15,14.25
S_mean,19,10,7,25,15.25
G_mean,18,12,9,23,15.5
L_mean,16,16,15,19,16.5
LBP_bin25,22,7,18,22,17.25
G_std,13,24,24,9,17.5
LBP_bin21,24,11,11,27,18.25
R_std,1,37,35,3,19.0
LBP_bin15,23,22,17,20,20.5
LBP_bin20,27,14,10,33,21.0
B_mean,10,32,32,13,21.75
R_mean,11,29,31,17,22.0
LBP_bin13,25,18,21,24,22.0
LBP_bin22,30,17,16,29,23.0
V_mean,4,38,39,14,23.75
GLCM_dissimilarity,2,46,46,4,24.5
LBP_bin09,31,20,20,31,25.5
LBP_entropy,38,15,23,28,26.0
LBP_bin01,28,26,30,21,26.25
LBP_bin06,34,23,22,37,29.0
LBP_bin00,21,44,45,10,30.0
LBP_bin19,36,25,25,39,31.25
LBP_bin10,33,28,26,40,31.75
LBP_bin08,35,31,29,35,32.5
GLCM_correlation,32,34,36,30,33.0
LBP_bin23,26,40,41,26,33.25
LBP_bin02,29,36,38,32,33.75
LBP_bin14,46,27,27,43,35.75
LBP_bin11,44,33,34,34,36.25
LBP_bin05,45,30,28,44,36.75
LBP_bin04,39,35,33,42,37.25
LBP_bin16,37,39,37,45,39.5
LBP_bin03,43,43,42,36,41.0
LBP_bin12,41,42,43,41,41.75
LBP_bin18,40,41,40,46,41.75
LBP_bin07,42,45,44,38,42.25
